chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
AAPL,2023-07-28,195.0000,call,sell,2023-07-25T13:44:27.375472Z,credit,3.00000,limit,,long_call,1.07000000,3.00000
AMZN,2023-07-28,132.0000,call,buy,2023-07-25T13:36:41.868344Z,debit,9.00000,limit,long_call,,1.10000000,9.00000
AAPL,2023-07-28,195.0000,call,buy,2023-07-25T13:34:50.648686Z,debit,3.00000,limit,long_call,,1.14000000,3.00000
NVDA,2023-08-04,430.0000,call,sell,2023-07-21T13:44:37.532101Z,credit,1.00000,limit,,long_call,31.60000000,1.00000
NVDA,2023-08-04,430.0000,call,sell,2023-07-21T13:44:00.781538Z,credit,1.00000,limit,,long_call,31.40000000,1.00000
NVDA,2023-08-04,430.0000,call,buy,2023-07-21T12:42:09.901101Z,debit,2.00000,limit,long_call,,30.00000000,2.00000
TSLA,2023-07-21,290.0000,call,sell,2023-07-19T14:15:45.685664Z,credit,1.00000,limit,,long_call,14.20000000,1.00000
TSLA,2023-07-21,290.0000,call,sell,2023-07-19T14:11:41.310965Z,credit,1.00000,limit,,long_call,14.20000000,1.00000
TSLA,2023-07-21,290.0000,call,buy,2023-07-19T13:31:44.090279Z,debit,2.00000,limit,long_call,,14.50000000,2.00000
NVDA,2023-07-21,430.0000,call,sell,2023-07-18T13:32:10.058265Z,credit,1.00000,limit,,long_call,35.20000000,1.00000
NVDA,2023-07-21,430.0000,call,buy,2023-07-14T19:26:08.356006Z,debit,1.00000,limit,long_call,,25.05000000,1.00000
TSLA,2023-07-21,260.0000,put,buy,2023-07-14T15:29:37.419656Z,debit,4.00000,limit,,short_put_spread,1.67000000,4.00000
TSLA,2023-07-21,250.0000,put,sell,2023-07-14T15:29:37.419656Z,debit,4.00000,limit,,short_put_spread,1.67000000,4.00000
TSLA,2023-07-21,260.0000,put,sell,2023-07-14T15:13:42.058689Z,credit,4.00000,limit,short_put_spread,,1.85000000,4.00000
TSLA,2023-07-21,250.0000,put,buy,2023-07-14T15:13:42.058689Z,credit,4.00000,limit,short_put_spread,,1.85000000,4.00000
AMZN,2023-07-21,129.0000,call,sell,2023-07-14T13:30:35.912802Z,credit,1.00000,limit,,long_call,6.10000000,1.00000
NVDA,2023-07-21,445.0000,call,sell,2023-07-14T13:29:25.391253Z,credit,2.00000,limit,,long_call,26.40000000,2.00000
NVDA,2023-07-21,445.0000,call,buy,2023-07-13T19:57:38.011367Z,debit,2.00000,limit,long_call,,20.45000000,2.00000
AMZN,2023-07-21,129.0000,call,sell,2023-07-13T19:26:49.302517Z,credit,1.00000,limit,,long_call,5.95000000,1.00000
AMZN,2023-07-21,129.0000,call,buy,2023-07-13T17:56:28.451019Z,debit,2.00000,limit,long_call,,5.90000000,2.00000
TSLA,2023-07-14,290.0000,call,buy,2023-07-07T14:19:59.969677Z,debit,4.00000,limit,,short_call_spread,1.12000000,4.00000
TSLA,2023-07-14,297.5000,call,sell,2023-07-07T14:19:59.969677Z,debit,4.00000,limit,,short_call_spread,1.12000000,4.00000
TSLA,2023-07-14,297.5000,call,buy,2023-07-07T14:02:12.533287Z,credit,4.00000,limit,short_call_spread,,1.37000000,4.00000
TSLA,2023-07-14,290.0000,call,sell,2023-07-07T14:02:12.533287Z,credit,4.00000,limit,short_call_spread,,1.37000000,4.00000
TSLA,2023-07-14,240.0000,call,sell,2023-06-30T16:48:11.908967Z,credit,1.00000,limit,,long_call,37.50000000,1.00000
TSLA,2023-07-14,240.0000,call,buy,2023-06-30T16:14:46.692062Z,debit,1.00000,limit,long_call,,26.45000000,1.00000
AMD,2023-07-14,105.0000,call,sell,2023-06-30T16:13:45.896066Z,credit,1.00000,limit,,long_call,9.70000000,1.00000
AMD,2023-07-14,105.0000,call,sell,2023-06-30T15:47:21.171701Z,credit,2.00000,limit,,long_call,9.45000000,2.00000
AMD,2023-07-14,105.0000,call,buy,2023-06-30T14:55:33.743386Z,debit,3.00000,limit,long_call,,10.30000000,3.00000
TSLA,2023-07-07,282.5000,call,sell,2023-06-30T14:12:05.624773Z,credit,4.00000,limit,,long_call,3.30000000,4.00000
TSLA,2023-07-07,245.0000,call,sell,2023-06-30T14:11:29.422664Z,credit,1.00000,limit,,long_call,21.00000000,1.00000
TSLA,2023-07-07,275.0000,call,sell,2023-06-30T14:10:29.046163Z,credit,1.00000,limit,,long_call,5.00000000,1.00000
TSLA,2023-07-07,275.0000,call,buy,2023-06-30T14:05:29.258582Z,debit,1.00000,limit,long_call,,5.00000000,1.00000
TSLA,2023-07-07,245.0000,call,buy,2023-06-30T14:05:00.745668Z,debit,1.00000,limit,long_call,,20.85000000,1.00000
TSLA,2023-07-07,275.0000,call,buy,2023-06-30T14:02:04.184887Z,debit,4.00000,limit,,short_call,4.70000000,4.00000
TSLA,2023-07-07,282.5000,call,buy,2023-06-29T14:50:03.624585Z,credit,4.00000,limit,short_call_spread,,1.21000000,4.00000
TSLA,2023-07-07,275.0000,call,sell,2023-06-29T14:50:03.624585Z,credit,4.00000,limit,short_call_spread,,1.21000000,4.00000
AMZN,2023-06-30,132.0000,call,sell,2023-06-29T13:50:57.796584Z,credit,3.00000,limit,,long_call,0.22000000,3.00000
AMZN,2023-06-30,132.0000,call,buy,2023-06-28T14:41:52.142993Z,debit,3.00000,limit,long_call,,1.05000000,3.00000
AMZN,2023-06-30,130.0000,call,sell,2023-06-28T14:35:54.537326Z,credit,3.00000,limit,,long_call,1.96000000,3.00000
AMZN,2023-06-30,130.0000,call,buy,2023-06-28T14:32:32.312400Z,debit,3.00000,limit,long_call,,1.89000000,3.00000
ADBE,2023-06-23,470.0000,call,sell,2023-06-16T13:31:00.112061Z,credit,1.00000,limit,,long_call,46.80000000,1.00000
ADBE,2023-06-23,465.0000,call,sell,2023-06-16T13:30:33.724056Z,credit,1.00000,limit,,long_call,51.00000000,1.00000
ADBE,2023-06-23,470.0000,call,buy,2023-06-15T19:59:31.300005Z,debit,1.00000,limit,long_call,,32.85000000,1.00000
ADBE,2023-06-23,465.0000,call,buy,2023-06-15T19:38:00.703024Z,debit,1.00000,limit,long_call,,37.90000000,1.00000
TSLA,2023-06-16,252.5000,call,sell,2023-06-15T13:44:08.449519Z,credit,5.00000,limit,,long_call,5.20000000,5.00000
TSLA,2023-06-16,252.5000,call,buy,2023-06-15T13:43:14.180856Z,debit,5.00000,limit,long_call,,5.00000000,5.00000
TSLA,2023-06-16,250.0000,call,sell,2023-06-15T13:38:18.903935Z,credit,1.00000,limit,,long_call,5.55000000,1.00000
TSLA,2023-06-16,250.0000,call,sell,2023-06-15T13:36:43.495119Z,credit,2.00000,limit,,long_call,5.50000000,2.00000
TSLA,2023-06-16,250.0000,call,buy,2023-06-15T13:35:36.035042Z,debit,3.00000,limit,long_call,,5.60000000,3.00000
TSLA,2023-06-30,250.0000,call,sell,2023-06-15T13:34:01.536080Z,credit,1.00000,limit,,long_call,11.90000000,1.00000
META,2023-06-30,250.0000,call,sell,2023-06-15T13:31:27.596139Z,credit,1.00000,limit,,long_call,23.00000000,1.00000
TSLA,2023-06-30,250.0000,call,sell,2023-06-14T19:11:06.583335Z,credit,1.00000,limit,,long_call,16.35000000,1.00000
META,2023-06-30,250.0000,call,sell,2023-06-14T19:10:34.836480Z,credit,1.00000,limit,,long_call,24.70000000,1.00000
TSLA,2023-06-30,250.0000,call,sell,2023-06-14T19:01:25.870041Z,credit,1.00000,limit,,long_call,16.45000000,1.00000
TSLA,2023-06-30,250.0000,call,buy,2023-06-14T17:34:19.628749Z,debit,3.00000,limit,long_call,,17.25000000,3.00000
META,2023-06-30,250.0000,call,buy,2023-06-14T17:33:08.504214Z,debit,2.00000,limit,long_call,,23.20000000,2.00000
TSLA,2023-06-23,240.0000,call,sell,2023-06-13T19:34:11.765503Z,credit,1.00000,limit,,long_call,20.95000000,1.00000
TSLA,2023-06-23,240.0000,call,buy,2023-06-13T17:47:16.574199Z,debit,1.00000,limit,long_call,,22.20000000,1.00000
TSLA,2023-06-23,230.0000,call,sell,2023-06-13T13:32:18.601399Z,credit,2.00000,limit,,long_call,26.25000000,2.00000
ADBE,2023-06-23,455.0000,call,sell,2023-06-13T13:32:02.160569Z,credit,1.00000,limit,,long_call,42.00000000,1.00000
META,2023-06-23,260.0000,call,sell,2023-06-13T13:30:58.798863Z,credit,4.00000,limit,,long_call,15.55000000,4.00000
META,2023-06-23,260.0000,call,buy,2023-06-12T19:42:10.612391Z,debit,4.00000,limit,long_call,,13.25000000,4.00000
ADBE,2023-06-23,455.0000,call,sell,2023-06-12T19:39:49.529829Z,credit,2.00000,limit,,long_call,33.55000000,2.00000
ADBE,2023-06-23,455.0000,call,sell,2023-06-12T19:39:30.258438Z,credit,1.00000,limit,,long_call,34.10000000,1.00000
