tradeDate,tradeTime,tradeType,tradeSize,symbol,tradeCond,tradePrice,rawtradeId,tradeCnt,tradeAboveBelow,tradePivot,priceDist,pricePct,tradeStrong,tradeLeg,timestamp,tradeRecTimestamp,tradeDateTime,tradeDay,tradeBar,userId,accountId,tradeRAW,tradeRawId,tradeSize1,tradePrFilled,tradeDur,tradeStopMke,tradeLimitExit,optionStrategy,daySRs,wkSRs,moSRs,tradeSpec,tradeSig,tradeGapPct,tradeStatus,tradeAux1,tradeAux2,tradeHash
2024-02-06,1200,SELL,10,SNAP,atLimit,17.2,1853,4,below,R1,-0.2,-1.1759%,0,20|15|10|10,2024-02-07T054548,tstampRec_2024-02-06T16_45_07,2024-02-06T120000,tue,15min,Creator,12345354911,raw41,0,100,0,day,10.32,43,IronCondor1.15,nil_,nil_,nil_,nil,SELL,0
2024-02-06,1145,BUY,10,META,atLimit,457.09,1850,6,above,S1,1.88,0.4113%,0,545|525|385|365,2024-02-07T054548,tstampRec_2024-02-06T16_30_03,2024-02-06T114500,tue,15min,Creator,12345354911,raw38,0,100,0,day,274.254,1142.72,IronCondor1.15,nil_,nil_,nil_,nil,BUY,0
2024-02-06,1145,BUY,10,ETSY,atLimit,73.83,1851,11,above,S1,0.78,1.0564%,0,85|80|60|55,2024-02-07T054548,tstampRec_2024-02-06T16_30_16,2024-02-06T114500,tue,15min,Creator,12345354911,raw39,0,100,0,day,44.298,184.575,IronCondor1.15,nil_,nil_,nil_,nil,BUY,0
2024-02-06,1130,SELL,10,M,atLimit,18.52,1849,6,below,R1,-0.03,-0.1620%,0,20|20|15|10,2024-02-07T054548,tstampRec_2024-02-06T16_15_02,2024-02-06T113000,tue,15min,Creator,12345354911,raw37,0,100,0,day,11.112,46.3,IronCondor1.15,nil_,nil_,nil_,nil,SELL,0
2024-02-06,1115,BUY,10,AMZN,atLimit,168.79,1846,4,above,S1,0.32,0.1876%,0,200|190|140|135,2024-02-07T054548,tstampRec_2024-02-06T16_00_12,2024-02-06T111500,tue,15min,Creator,12345354911,raw34,0,100,0,day,101.274,421.975,IronCondor1.15,nil_,nil_,nil_,nil,BUY,0
2024-02-06,1115,BUY,10,QQQ,atLimit,426.96,1847,4,above,S1,1.2,0.2818%,0,510|490|360|340,2024-02-07T054548,tstampRec_2024-02-06T16_00_12,2024-02-06T111500,tue,15min,Creator,12345354911,raw35,0,100,0,day,256.176,1067.4,IronCondor1.15,nil_,nil_,nil_,nil,BUY,0
2024-02-06,1115,BUY,10,NFLX,atLimit,558.43,1848,10,above,S1,4.26,0.7623%,0,670|640|470|445,2024-02-07T054548,tstampRec_2024-02-06T16_00_12,2024-02-06T111500,tue,15min,Creator,12345354911,raw36,0,100,0,day,335.058,1396.07,IronCondor1.15,nil_,nil_,nil_,nil,BUY,0
2024-02-06,1101,BUY,10,INTC,atLimit,42.29,1842,12,below,S1,-0.14,-0.3231%,1,50|45|35|30,2024-02-07T054548,tstampRec_2024-02-06T15_48_12,2024-02-06T110100,tue,13min,Creator,12345354911,raw30,0,100,0,day,25.374,105.725,IronCondor1.15,nil_,nil_,nil_,nil,BUY,0
2024-02-06,1101,buyToOpen_CALL_,0,INTC,atLimit,42.29,1842,40,STRIKE,S1,-0.14,-0.3231%,1,50|45|35|30,2024-02-07T054548,tstampRec_2024-02-06T15_48_12,2024-02-06T110100,tue,13min,Creator,12345354911,raw30,0,100,0,day,25.374,105.725,IronCondor1.15,nil_,nil_,nil_,nil,BUY,0
2024-02-06,1101,SELL,10,META,atLimit,455.49,1845,5,below,R1,-12.26,-2.6916%,0,545|520|385|360,2024-02-07T054548,tstampRec_2024-02-06T16_00_12,2024-02-06T110100,tue,1min,Creator,12345354911,raw33,0,100,0,day,273.294,1138.72,IronCondor1.15,nil_,nil_,nil_,nil,SELL,0
2024-02-06,1100,BUY,10,AMD,atLimit,168.83,1840,4,below,S1,-1.39,-0.8233%,1,200|190|140|135,2024-02-07T054548,tstampRec_2024-02-06T15_45_07,2024-02-06T110000,tue,15min,Creator,12345354911,raw28,0,100,0,day,101.298,422.075,IronCondor1.15,nil_,nil_,nil_,nil,BUY,0
2024-02-06,1100,buyToOpen_CALL_,4,AMD,atLimit,168.83,1840,165,STRIKE,S1,-1.39,-0.8233%,1,200|190|140|135,2024-02-07T054548,tstampRec_2024-02-06T15_45_07,2024-02-06T110000,tue,15min,Creator,12345354911,raw28,0,100,0,day,101.298,422.075,IronCondor1.15,nil_,nil_,nil_,nil,BUY,0
2024-02-06,1056,BUY,10,META,atLimit,455.33,1844,5,above,S1,0.12,0.0264%,0,545|520|385|360,2024-02-07T054548,tstampRec_2024-02-06T15_55_07,2024-02-06T105600,tue,1min,Creator,12345354911,raw32,0,100,0,day,273.198,1138.32,IronCondor1.15,nil_,nil_,nil_,nil,BUY,0
2024-02-06,1051,SELL,10,META,atLimit,455.79,1843,6,below,R1,-11.96,-2.6247%,0,545|520|385|360,2024-02-07T054548,tstampRec_2024-02-06T15_50_02,2024-02-06T105100,tue,1min,Creator,12345354911,raw31,0,100,0,day,273.474,1139.47,IronCondor1.15,nil_,nil_,nil_,nil,SELL,0
2024-02-06,1045,SELL,10,TSLA,atLimit,183.69,1830,4,below,R1,-1.78,-0.9666%,0,220|210|155|145,2024-02-07T054548,tstampRec_2024-02-06T15_30_05,2024-02-06T104500,tue,15min,Creator,12345354911,raw18,0,100,0,day,110.214,459.225,IronCondor1.15,nil_,nil_,nil_,nil,SELL,0
2024-02-06,1045,SELL,10,SNAP,atLimit,17.11,1831,4,below,R1,-0.29,-1.7147%,0,20|15|10|10,2024-02-07T054548,tstampRec_2024-02-06T15_30_05,2024-02-06T104500,tue,15min,Creator,12345354911,raw19,0,100,0,day,10.266,42.775,IronCondor1.15,nil_,nil_,nil_,nil,SELL,0
2024-02-06,1045,BUY,10,META,atLimit,455.05,1841,7,below,S1,-0.17,-0.0366%,1,545|520|385|360,2024-02-07T054548,tstampRec_2024-02-06T15_45_32,2024-02-06T104500,tue,1min,Creator,12345354911,raw29,0,100,0,day,273.03,1137.62,IronCondor1.15,nil_,nil_,nil_,nil,BUY,0
2024-02-06,1032,SELL,10,META,atLimit,456.09,1832,4,below,R1,-11.66,-2.5575%,0,545|520|385|360,2024-02-07T054548,tstampRec_2024-02-06T15_31_06,2024-02-06T103200,tue,1min,Creator,12345354911,raw20,0,100,0,day,273.654,1140.22,IronCondor1.15,nil_,nil_,nil_,nil,SELL,0
